Rank;Player name;Position;Age;Team;Games played;Minutes played per game;Field goals per game;Field goal attempts per game;3-point field goals per game;3-point field goal attempts per game;2-point field goals per game;2-point field goal attempts per game;Free throws per game;Free throw attempts per game;Total rebounds per game;Assists per game;Steals per game;Blocks per game;Turnovers per game;Personal fouls per game;Points per game
1;Precious Achiuwa;C;22;TOR;73;23.6;3.6;8.3;0.8;2.1;2.9;6.1;1.1;1.8;6.5;1.1;0.5;0.6;1.2;2.1;9.1
2;Steven Adams;C;28;MEM;76;26.3;2.8;5.1;0;0;2.8;5;1.4;2.6;10;3.4;0.9;0.8;1.5;2;6.9
3;Bam Adebayo;C;24;MIA;56;32.6;7.3;13;0;0.1;7.3;12.9;4.6;6.1;10.1;3.4;1.4;0.8;2.6;3.1;19.1
4;Santi Aldama;PF;21;MEM;32;11.3;1.7;4.1;0.2;1.5;1.5;2.6;0.6;1;2.7;0.7;0.2;0.3;0.5;1.1;4.1
5;LaMarcus Aldridge;C;36;BRK;47;22.3;5.4;9.7;0.3;1;5.1;8.8;1.9;2.2;5.5;0.9;0.3;1;0.9;1.7;12.9
6;Nickeil Alexander-Walker;SG;23;TOT;65;22.6;3.9;10.5;1.6;5.2;2.3;5.3;1.2;1.7;2.9;2.4;0.7;0.4;1.4;1.6;10.6
6;Nickeil Alexander-Walker;SG;23;NOP;50;26.3;4.7;12.6;1.9;6.1;2.8;6.5;1.4;1.9;3.3;2.8;0.8;0.4;1.7;1.8;12.8
6;Nickeil Alexander-Walker;SG;23;UTA;15;9.9;1.1;3.2;0.7;2.2;0.4;1;0.7;0.8;1.5;1.1;0.3;0.3;0.5;1;3.5
7;Grayson Allen;SG;26;MIL;66;27.3;3.9;8.6;2.4;5.9;1.5;2.7;1;1.1;3.4;1.5;0.7;0.3;0.7;1.5;11.1
8;Jarrett Allen;C;23;CLE;56;32.3;6.6;9.7;0;0.2;6.6;9.6;2.9;4.2;10.8;1.6;0.8;1.3;1.7;1.7;16.1
9;Jose Alvarado;PG;23;NOP;54;15.4;2.4;5.4;0.6;2;1.8;3.4;0.7;1;1.9;2.8;1.3;0.1;0.7;1.4;6.1
10;Justin Anderson;SF;28;TOT;16;19.8;2.3;5.9;0.9;3.7;1.3;2.3;0.9;1.2;2.9;2.1;0.5;0.4;0.5;1.4;6.4
10;Justin Anderson;SF;28;CLE;3;15.7;1.3;2.7;0.7;2;0.7;0.7;1;1.3;2;2;0.3;0;0.7;1.3;4.3
10;Justin Anderson;SF;28;IND;13;20.7;2.5;6.7;1;4.1;1.5;2.6;0.9;1.2;3.1;2.1;0.5;0.5;0.5;1.4;6.8
11;Kyle Anderson;PF;28;MEM;69;21.5;3;6.8;0.5;1.6;2.5;5.2;1;1.5;5.3;2.7;1.1;0.7;1;1.6;7.6
12;Giannis Antetokounmpo;PF;27;MIL;67;32.9;10.3;18.6;1.1;3.6;9.2;15;8.3;11.4;11.6;5.8;1.1;1.4;3.3;3.2;29.9
13;Thanasis Antetokounmpo;SF;29;MIL;48;9.9;1.5;2.7;0;0.3;1.4;2.4;0.6;1;2.1;0.5;0.3;0.3;0.5;1.4;3.6
14;Carmelo Anthony;PF;37;LAL;69;26;4.6;10.5;2.2;5.8;2.5;4.7;1.9;2.3;4.2;1;0.7;0.8;0.9;2.4;13.3
15;Cole Anthony;PG;21;ORL;65;31.7;5.5;14;2;6;3.5;8;3.3;3.9;5.4;5.7;0.7;0.3;2.6;2.6;16.3
16;OG Anunoby;SF;24;TOR;48;36;6.4;14.5;2.4;6.6;4;7.9;1.9;2.5;5.5;2.6;1.5;0.5;1.7;2.7;17.1
17;Ryan Arcidiacono;PG;27;NYK;10;7.6;0.6;1.2;0.4;0.9;0.2;0.3;0;0;0.8;0.4;0.1;0;0.3;0.5;1.6
18;Trevor Ariza;SF;36;LAL;24;19.3;1.4;4.1;0.8;3.1;0.5;1;0.4;0.8;3.4;1.1;0.5;0.3;0.5;0.8;4
19;D.J. Augustin;PG;34;TOT;55;16.1;1.7;4;1.2;3;0.5;1.1;0.7;0.8;1.2;1.9;0.3;0;1;0.7;5.3
